algorithm,transformation,max_features,ngram_range,data_type,mean_balanced_accuracy,mean_recall
LR2,tf,100,"(1, 1)",clean,0.9,0.8
RF,tf,100,"(1, 1)",clean,0.94,0.9
XGB,tf,100,"(1, 1)",clean,0.89,0.79
NB,tf,100,"(1, 1)",clean_steeming,0.87,0.95
SVMR,tf,100,"(1, 1)",clean_steeming,0.5,0.0
SVML,tf,100,"(1, 1)",clean_steeming,0.93,0.89
LR1,tf,100,"(1, 1)",clean_steeming,0.89,0.79
LR2,tf,100,"(1, 1)",clean_steeming,0.89,0.8
RF,tf,100,"(1, 1)",clean_steeming,0.94,0.9
XGB,tf,100,"(1, 1)",clean_steeming,0.9,0.82
NB,tf,100,"(1, 1)",clean_lemmatization,0.84,0.94
SVMR,tf,100,"(1, 1)",clean_lemmatization,0.5,0.0
SVML,tf,100,"(1, 1)",clean_lemmatization,0.93,0.87
LR1,tf,100,"(1, 1)",clean_lemmatization,0.88,0.78
LR2,tf,100,"(1, 1)",clean_lemmatization,0.89,0.78
RF,tf,100,"(1, 1)",clean_lemmatization,0.94,0.9
XGB,tf,100,"(1, 1)",clean_lemmatization,0.9,0.81
NB,tf,100,"(1, 1)",clean_steeming_lemmatization,0.87,0.95
SVMR,tf,100,"(1, 1)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,100,"(1, 1)",clean_steeming_lemmatization,0.93,0.88
LR1,tf,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.8
LR2,tf,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.8
RF,tf,100,"(1, 1)",clean_steeming_lemmatization,0.94,0.9
XGB,tf,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.82
NB,tf,100,"(1, 2)",clean,0.82,0.95
SVMR,tf,100,"(1, 2)",clean,0.5,0.0
SVML,tf,100,"(1, 2)",clean,0.94,0.89
LR1,tf,100,"(1, 2)",clean,0.9,0.81
LR2,tf,100,"(1, 2)",clean,0.9,0.82
RF,tf,100,"(1, 2)",clean,0.94,0.9
XGB,tf,100,"(1, 2)",clean,0.88,0.78
NB,tf,100,"(1, 2)",clean_steeming,0.87,0.96
SVMR,tf,100,"(1, 2)",clean_steeming,0.5,0.0
SVML,tf,100,"(1, 2)",clean_steeming,0.94,0.89
LR1,tf,100,"(1, 2)",clean_steeming,0.9,0.8
LR2,tf,100,"(1, 2)",clean_steeming,0.9,0.8
RF,tf,100,"(1, 2)",clean_steeming,0.94,0.91
XGB,tf,100,"(1, 2)",clean_steeming,0.9,0.82
NB,tf,100,"(1, 2)",clean_lemmatization,0.84,0.96
SVMR,tf,100,"(1, 2)",clean_lemmatization,0.5,0.0
SVML,tf,100,"(1, 2)",clean_lemmatization,0.93,0.87
LR1,tf,100,"(1, 2)",clean_lemmatization,0.88,0.78
LR2,tf,100,"(1, 2)",clean_lemmatization,0.89,0.79
RF,tf,100,"(1, 2)",clean_lemmatization,0.94,0.9
XGB,tf,100,"(1, 2)",clean_lemmatization,0.9,0.81
NB,tf,100,"(1, 2)",clean_steeming_lemmatization,0.87,0.95
SVMR,tf,100,"(1, 2)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,100,"(1, 2)",clean_steeming_lemmatization,0.93,0.87
LR1,tf,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.81
LR2,tf,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.8
RF,tf,100,"(1, 2)",clean_steeming_lemmatization,0.95,0.91
XGB,tf,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.82
NB,tf,100,"(1, 3)",clean,0.82,0.96
SVMR,tf,100,"(1, 3)",clean,0.5,0.0
SVML,tf,100,"(1, 3)",clean,0.93,0.88
LR1,tf,100,"(1, 3)",clean,0.9,0.81
LR2,tf,100,"(1, 3)",clean,0.9,0.81
RF,tf,100,"(1, 3)",clean,0.93,0.89
XGB,tf,100,"(1, 3)",clean,0.88,0.78
NB,tf,100,"(1, 3)",clean_steeming,0.87,0.96
SVMR,tf,100,"(1, 3)",clean_steeming,0.5,0.0
SVML,tf,100,"(1, 3)",clean_steeming,0.93,0.89
LR1,tf,100,"(1, 3)",clean_steeming,0.9,0.81
LR2,tf,100,"(1, 3)",clean_steeming,0.89,0.8
RF,tf,100,"(1, 3)",clean_steeming,0.95,0.91
XGB,tf,100,"(1, 3)",clean_steeming,0.9,0.81
NB,tf,100,"(1, 3)",clean_lemmatization,0.84,0.96
SVMR,tf,100,"(1, 3)",clean_lemmatization,0.5,0.0
SVML,tf,100,"(1, 3)",clean_lemmatization,0.93,0.87
LR1,tf,100,"(1, 3)",clean_lemmatization,0.88,0.78
LR2,tf,100,"(1, 3)",clean_lemmatization,0.89,0.79
RF,tf,100,"(1, 3)",clean_lemmatization,0.94,0.9
XGB,tf,100,"(1, 3)",clean_lemmatization,0.9,0.81
NB,tf,100,"(1, 3)",clean_steeming_lemmatization,0.87,0.96
SVMR,tf,100,"(1, 3)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,100,"(1, 3)",clean_steeming_lemmatization,0.93,0.89
LR1,tf,100,"(1, 3)",clean_steeming_lemmatization,0.89,0.8
LR2,tf,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.8
RF,tf,100,"(1, 3)",clean_steeming_lemmatization,0.94,0.91
XGB,tf,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.82
NB,tf,200,"(1, 1)",clean,0.88,0.94
SVMR,tf,200,"(1, 1)",clean,0.5,0.0
SVML,tf,200,"(1, 1)",clean,0.93,0.87
LR1,tf,200,"(1, 1)",clean,0.88,0.77
LR2,tf,200,"(1, 1)",clean,0.89,0.78
RF,tf,200,"(1, 1)",clean,0.95,0.92
XGB,tf,200,"(1, 1)",clean,0.89,0.79
NB,tf,200,"(1, 1)",clean_steeming,0.88,0.93
SVMR,tf,200,"(1, 1)",clean_steeming,0.5,0.0
SVML,tf,200,"(1, 1)",clean_steeming,0.94,0.9
LR1,tf,200,"(1, 1)",clean_steeming,0.89,0.79
LR2,tf,200,"(1, 1)",clean_steeming,0.9,0.81
RF,tf,200,"(1, 1)",clean_steeming,0.95,0.92
XGB,tf,200,"(1, 1)",clean_steeming,0.89,0.79
NB,tf,200,"(1, 1)",clean_lemmatization,0.87,0.93
SVMR,tf,200,"(1, 1)",clean_lemmatization,0.5,0.0
SVML,tf,200,"(1, 1)",clean_lemmatization,0.95,0.9
LR1,tf,200,"(1, 1)",clean_lemmatization,0.89,0.78
LR2,tf,200,"(1, 1)",clean_lemmatization,0.9,0.8
RF,tf,200,"(1, 1)",clean_lemmatization,0.96,0.93
XGB,tf,200,"(1, 1)",clean_lemmatization,0.89,0.8
NB,tf,200,"(1, 1)",clean_steeming_lemmatization,0.89,0.93
SVMR,tf,200,"(1, 1)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,200,"(1, 1)",clean_steeming_lemmatization,0.94,0.89
LR1,tf,200,"(1, 1)",clean_steeming_lemmatization,0.89,0.78
LR2,tf,200,"(1, 1)",clean_steeming_lemmatization,0.9,0.81
RF,tf,200,"(1, 1)",clean_steeming_lemmatization,0.96,0.93
XGB,tf,200,"(1, 1)",clean_steeming_lemmatization,0.89,0.79
NB,tf,200,"(1, 2)",clean,0.86,0.93
SVMR,tf,200,"(1, 2)",clean,0.5,0.0
SVML,tf,200,"(1, 2)",clean,0.93,0.88
LR1,tf,200,"(1, 2)",clean,0.88,0.76
LR2,tf,200,"(1, 2)",clean,0.88,0.78
RF,tf,200,"(1, 2)",clean,0.94,0.91
XGB,tf,200,"(1, 2)",clean,0.89,0.79
NB,tf,200,"(1, 2)",clean_steeming,0.88,0.93
SVMR,tf,200,"(1, 2)",clean_steeming,0.5,0.0
SVML,tf,200,"(1, 2)",clean_steeming,0.94,0.9
LR1,tf,200,"(1, 2)",clean_steeming,0.89,0.79
LR2,tf,200,"(1, 2)",clean_steeming,0.9,0.81
RF,tf,200,"(1, 2)",clean_steeming,0.96,0.93
XGB,tf,200,"(1, 2)",clean_steeming,0.89,0.8
NB,tf,200,"(1, 2)",clean_lemmatization,0.87,0.93
SVMR,tf,200,"(1, 2)",clean_lemmatization,0.5,0.0
SVML,tf,200,"(1, 2)",clean_lemmatization,0.94,0.9
LR1,tf,200,"(1, 2)",clean_lemmatization,0.89,0.78
LR2,tf,200,"(1, 2)",clean_lemmatization,0.9,0.81
RF,tf,200,"(1, 2)",clean_lemmatization,0.96,0.94
XGB,tf,200,"(1, 2)",clean_lemmatization,0.89,0.8
NB,tf,200,"(1, 2)",clean_steeming_lemmatization,0.88,0.93
SVMR,tf,200,"(1, 2)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,200,"(1, 2)",clean_steeming_lemmatization,0.94,0.89
LR1,tf,200,"(1, 2)",clean_steeming_lemmatization,0.89,0.78
LR2,tf,200,"(1, 2)",clean_steeming_lemmatization,0.9,0.81
RF,tf,200,"(1, 2)",clean_steeming_lemmatization,0.96,0.93
XGB,tf,200,"(1, 2)",clean_steeming_lemmatization,0.89,0.79
NB,tf,200,"(1, 3)",clean,0.86,0.93
SVMR,tf,200,"(1, 3)",clean,0.5,0.0
SVML,tf,200,"(1, 3)",clean,0.94,0.89
LR1,tf,200,"(1, 3)",clean,0.88,0.77
LR2,tf,200,"(1, 3)",clean,0.89,0.79
RF,tf,200,"(1, 3)",clean,0.94,0.91
XGB,tf,200,"(1, 3)",clean,0.89,0.79
NB,tf,200,"(1, 3)",clean_steeming,0.88,0.93
SVMR,tf,200,"(1, 3)",clean_steeming,0.5,0.0
SVML,tf,200,"(1, 3)",clean_steeming,0.94,0.9
LR1,tf,200,"(1, 3)",clean_steeming,0.89,0.79
LR2,tf,200,"(1, 3)",clean_steeming,0.9,0.81
RF,tf,200,"(1, 3)",clean_steeming,0.95,0.92
XGB,tf,200,"(1, 3)",clean_steeming,0.89,0.8
NB,tf,200,"(1, 3)",clean_lemmatization,0.87,0.93
SVMR,tf,200,"(1, 3)",clean_lemmatization,0.5,0.0
SVML,tf,200,"(1, 3)",clean_lemmatization,0.95,0.9
LR1,tf,200,"(1, 3)",clean_lemmatization,0.89,0.79
LR2,tf,200,"(1, 3)",clean_lemmatization,0.9,0.8
RF,tf,200,"(1, 3)",clean_lemmatization,0.96,0.93
XGB,tf,200,"(1, 3)",clean_lemmatization,0.89,0.8
NB,tf,200,"(1, 3)",clean_steeming_lemmatization,0.88,0.93
SVMR,tf,200,"(1, 3)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,200,"(1, 3)",clean_steeming_lemmatization,0.94,0.89
LR1,tf,200,"(1, 3)",clean_steeming_lemmatization,0.89,0.78
LR2,tf,200,"(1, 3)",clean_steeming_lemmatization,0.9,0.81
RF,tf,200,"(1, 3)",clean_steeming_lemmatization,0.95,0.92
XGB,tf,200,"(1, 3)",clean_steeming_lemmatization,0.89,0.79
NB,tf,400,"(1, 1)",clean,0.92,0.94
SVMR,tf,400,"(1, 1)",clean,0.5,0.0
SVML,tf,400,"(1, 1)",clean,0.94,0.89
LR1,tf,400,"(1, 1)",clean,0.86,0.73
LR2,tf,400,"(1, 1)",clean,0.88,0.77
RF,tf,400,"(1, 1)",clean,0.95,0.92
XGB,tf,400,"(1, 1)",clean,0.89,0.79
NB,tf,400,"(1, 1)",clean_steeming,0.92,0.92
SVMR,tf,400,"(1, 1)",clean_steeming,0.5,0.0
SVML,tf,400,"(1, 1)",clean_steeming,0.95,0.91
LR1,tf,400,"(1, 1)",clean_steeming,0.88,0.77
LR2,tf,400,"(1, 1)",clean_steeming,0.91,0.82
RF,tf,400,"(1, 1)",clean_steeming,0.95,0.91
XGB,tf,400,"(1, 1)",clean_steeming,0.89,0.8
NB,tf,400,"(1, 1)",clean_lemmatization,0.92,0.92
SVMR,tf,400,"(1, 1)",clean_lemmatization,0.5,0.0
SVML,tf,400,"(1, 1)",clean_lemmatization,0.94,0.9
LR1,tf,400,"(1, 1)",clean_lemmatization,0.89,0.79
LR2,tf,400,"(1, 1)",clean_lemmatization,0.9,0.81
RF,tf,400,"(1, 1)",clean_lemmatization,0.96,0.94
XGB,tf,400,"(1, 1)",clean_lemmatization,0.89,0.81
NB,tf,400,"(1, 1)",clean_steeming_lemmatization,0.91,0.92
SVMR,tf,400,"(1, 1)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,400,"(1, 1)",clean_steeming_lemmatization,0.95,0.9
LR1,tf,400,"(1, 1)",clean_steeming_lemmatization,0.88,0.78
LR2,tf,400,"(1, 1)",clean_steeming_lemmatization,0.9,0.81
RF,tf,400,"(1, 1)",clean_steeming_lemmatization,0.96,0.93
XGB,tf,400,"(1, 1)",clean_steeming_lemmatization,0.89,0.8
NB,tf,400,"(1, 2)",clean,0.91,0.93
SVMR,tf,400,"(1, 2)",clean,0.5,0.0
SVML,tf,400,"(1, 2)",clean,0.94,0.89
LR1,tf,400,"(1, 2)",clean,0.86,0.74
LR2,tf,400,"(1, 2)",clean,0.88,0.77
RF,tf,400,"(1, 2)",clean,0.96,0.93
XGB,tf,400,"(1, 2)",clean,0.89,0.79
NB,tf,400,"(1, 2)",clean_steeming,0.92,0.93
SVMR,tf,400,"(1, 2)",clean_steeming,0.5,0.0
SVML,tf,400,"(1, 2)",clean_steeming,0.95,0.91
LR1,tf,400,"(1, 2)",clean_steeming,0.88,0.77
LR2,tf,400,"(1, 2)",clean_steeming,0.9,0.81
RF,tf,400,"(1, 2)",clean_steeming,0.95,0.91
XGB,tf,400,"(1, 2)",clean_steeming,0.89,0.79
NB,tf,400,"(1, 2)",clean_lemmatization,0.92,0.93
SVMR,tf,400,"(1, 2)",clean_lemmatization,0.5,0.0
SVML,tf,400,"(1, 2)",clean_lemmatization,0.94,0.89
LR1,tf,400,"(1, 2)",clean_lemmatization,0.89,0.79
LR2,tf,400,"(1, 2)",clean_lemmatization,0.9,0.81
RF,tf,400,"(1, 2)",clean_lemmatization,0.96,0.94
XGB,tf,400,"(1, 2)",clean_lemmatization,0.9,0.82
NB,tf,400,"(1, 2)",clean_steeming_lemmatization,0.92,0.93
SVMR,tf,400,"(1, 2)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,400,"(1, 2)",clean_steeming_lemmatization,0.95,0.91
LR1,tf,400,"(1, 2)",clean_steeming_lemmatization,0.88,0.78
LR2,tf,400,"(1, 2)",clean_steeming_lemmatization,0.9,0.8
RF,tf,400,"(1, 2)",clean_steeming_lemmatization,0.95,0.91
XGB,tf,400,"(1, 2)",clean_steeming_lemmatization,0.88,0.79
NB,tf,400,"(1, 3)",clean,0.91,0.93
SVMR,tf,400,"(1, 3)",clean,0.5,0.0
SVML,tf,400,"(1, 3)",clean,0.94,0.89
LR1,tf,400,"(1, 3)",clean,0.86,0.73
LR2,tf,400,"(1, 3)",clean,0.89,0.78
RF,tf,400,"(1, 3)",clean,0.95,0.92
XGB,tf,400,"(1, 3)",clean,0.89,0.79
NB,tf,400,"(1, 3)",clean_steeming,0.92,0.93
SVMR,tf,400,"(1, 3)",clean_steeming,0.5,0.0
SVML,tf,400,"(1, 3)",clean_steeming,0.95,0.91
LR1,tf,400,"(1, 3)",clean_steeming,0.88,0.77
LR2,tf,400,"(1, 3)",clean_steeming,0.9,0.81
RF,tf,400,"(1, 3)",clean_steeming,0.95,0.92
XGB,tf,400,"(1, 3)",clean_steeming,0.89,0.8
NB,tf,400,"(1, 3)",clean_lemmatization,0.92,0.93
SVMR,tf,400,"(1, 3)",clean_lemmatization,0.5,0.0
SVML,tf,400,"(1, 3)",clean_lemmatization,0.94,0.88
LR1,tf,400,"(1, 3)",clean_lemmatization,0.89,0.78
LR2,tf,400,"(1, 3)",clean_lemmatization,0.9,0.81
RF,tf,400,"(1, 3)",clean_lemmatization,0.96,0.93
XGB,tf,400,"(1, 3)",clean_lemmatization,0.9,0.82
NB,tf,400,"(1, 3)",clean_steeming_lemmatization,0.92,0.93
SVMR,tf,400,"(1, 3)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,400,"(1, 3)",clean_steeming_lemmatization,0.95,0.9
LR1,tf,400,"(1, 3)",clean_steeming_lemmatization,0.88,0.78
LR2,tf,400,"(1, 3)",clean_steeming_lemmatization,0.9,0.8
RF,tf,400,"(1, 3)",clean_steeming_lemmatization,0.95,0.91
XGB,tf,400,"(1, 3)",clean_steeming_lemmatization,0.89,0.79
NB,tf,500,"(1, 1)",clean,0.94,0.97
SVMR,tf,500,"(1, 1)",clean,0.5,0.0
SVML,tf,500,"(1, 1)",clean,0.94,0.88
LR1,tf,500,"(1, 1)",clean,0.85,0.71
LR2,tf,500,"(1, 1)",clean,0.88,0.76
RF,tf,500,"(1, 1)",clean,0.95,0.92
XGB,tf,500,"(1, 1)",clean,0.88,0.79
NB,tf,500,"(1, 1)",clean_steeming,0.93,0.93
SVMR,tf,500,"(1, 1)",clean_steeming,0.5,0.0
SVML,tf,500,"(1, 1)",clean_steeming,0.96,0.92
LR1,tf,500,"(1, 1)",clean_steeming,0.88,0.77
LR2,tf,500,"(1, 1)",clean_steeming,0.9,0.81
RF,tf,500,"(1, 1)",clean_steeming,0.95,0.91
XGB,tf,500,"(1, 1)",clean_steeming,0.89,0.8
NB,tf,500,"(1, 1)",clean_lemmatization,0.93,0.93
SVMR,tf,500,"(1, 1)",clean_lemmatization,0.5,0.0
SVML,tf,500,"(1, 1)",clean_lemmatization,0.95,0.9
LR1,tf,500,"(1, 1)",clean_lemmatization,0.88,0.78
LR2,tf,500,"(1, 1)",clean_lemmatization,0.9,0.8
RF,tf,500,"(1, 1)",clean_lemmatization,0.96,0.93
XGB,tf,500,"(1, 1)",clean_lemmatization,0.89,0.8
NB,tf,500,"(1, 1)",clean_steeming_lemmatization,0.93,0.92
SVMR,tf,500,"(1, 1)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,500,"(1, 1)",clean_steeming_lemmatization,0.95,0.91
LR1,tf,500,"(1, 1)",clean_steeming_lemmatization,0.88,0.77
LR2,tf,500,"(1, 1)",clean_steeming_lemmatization,0.9,0.81
RF,tf,500,"(1, 1)",clean_steeming_lemmatization,0.95,0.91
XGB,tf,500,"(1, 1)",clean_steeming_lemmatization,0.89,0.8
NB,tf,500,"(1, 2)",clean,0.94,0.97
SVMR,tf,500,"(1, 2)",clean,0.5,0.0
SVML,tf,500,"(1, 2)",clean,0.94,0.88
LR1,tf,500,"(1, 2)",clean,0.86,0.73
LR2,tf,500,"(1, 2)",clean,0.88,0.76
RF,tf,500,"(1, 2)",clean,0.96,0.93
XGB,tf,500,"(1, 2)",clean,0.89,0.79
NB,tf,500,"(1, 2)",clean_steeming,0.93,0.93
SVMR,tf,500,"(1, 2)",clean_steeming,0.5,0.0
SVML,tf,500,"(1, 2)",clean_steeming,0.95,0.91
LR1,tf,500,"(1, 2)",clean_steeming,0.88,0.77
LR2,tf,500,"(1, 2)",clean_steeming,0.9,0.81
RF,tf,500,"(1, 2)",clean_steeming,0.95,0.91
XGB,tf,500,"(1, 2)",clean_steeming,0.89,0.79
NB,tf,500,"(1, 2)",clean_lemmatization,0.92,0.92
SVMR,tf,500,"(1, 2)",clean_lemmatization,0.5,0.0
SVML,tf,500,"(1, 2)",clean_lemmatization,0.95,0.9
LR1,tf,500,"(1, 2)",clean_lemmatization,0.89,0.78
LR2,tf,500,"(1, 2)",clean_lemmatization,0.9,0.81
RF,tf,500,"(1, 2)",clean_lemmatization,0.97,0.94
XGB,tf,500,"(1, 2)",clean_lemmatization,0.89,0.8
NB,tf,500,"(1, 2)",clean_steeming_lemmatization,0.93,0.93
SVMR,tf,500,"(1, 2)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,500,"(1, 2)",clean_steeming_lemmatization,0.95,0.91
LR1,tf,500,"(1, 2)",clean_steeming_lemmatization,0.88,0.77
LR2,tf,500,"(1, 2)",clean_steeming_lemmatization,0.9,0.81
RF,tf,500,"(1, 2)",clean_steeming_lemmatization,0.95,0.91
XGB,tf,500,"(1, 2)",clean_steeming_lemmatization,0.89,0.79
NB,tf,500,"(1, 3)",clean,0.94,0.97
SVMR,tf,500,"(1, 3)",clean,0.5,0.0
SVML,tf,500,"(1, 3)",clean,0.94,0.89
LR1,tf,500,"(1, 3)",clean,0.85,0.72
LR2,tf,500,"(1, 3)",clean,0.88,0.76
RF,tf,500,"(1, 3)",clean,0.95,0.91
XGB,tf,500,"(1, 3)",clean,0.89,0.79
NB,tf,500,"(1, 3)",clean_steeming,0.93,0.93
SVMR,tf,500,"(1, 3)",clean_steeming,0.5,0.0
SVML,tf,500,"(1, 3)",clean_steeming,0.95,0.91
LR1,tf,500,"(1, 3)",clean_steeming,0.88,0.77
LR2,tf,500,"(1, 3)",clean_steeming,0.9,0.81
RF,tf,500,"(1, 3)",clean_steeming,0.95,0.91
XGB,tf,500,"(1, 3)",clean_steeming,0.89,0.79
NB,tf,500,"(1, 3)",clean_lemmatization,0.93,0.93
SVMR,tf,500,"(1, 3)",clean_lemmatization,0.5,0.0
SVML,tf,500,"(1, 3)",clean_lemmatization,0.95,0.9
LR1,tf,500,"(1, 3)",clean_lemmatization,0.88,0.78
LR2,tf,500,"(1, 3)",clean_lemmatization,0.9,0.8
RF,tf,500,"(1, 3)",clean_lemmatization,0.96,0.93
XGB,tf,500,"(1, 3)",clean_lemmatization,0.89,0.8
NB,tf,500,"(1, 3)",clean_steeming_lemmatization,0.93,0.93
SVMR,tf,500,"(1, 3)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,500,"(1, 3)",clean_steeming_lemmatization,0.95,0.9
LR1,tf,500,"(1, 3)",clean_steeming_lemmatization,0.88,0.77
LR2,tf,500,"(1, 3)",clean_steeming_lemmatization,0.91,0.82
RF,tf,500,"(1, 3)",clean_steeming_lemmatization,0.95,0.91
XGB,tf,500,"(1, 3)",clean_steeming_lemmatization,0.89,0.79
NB,tf,800,"(1, 1)",clean,0.94,0.94
SVMR,tf,800,"(1, 1)",clean,0.5,0.0
SVML,tf,800,"(1, 1)",clean,0.94,0.89
LR1,tf,800,"(1, 1)",clean,0.85,0.71
LR2,tf,800,"(1, 1)",clean,0.87,0.74
RF,tf,800,"(1, 1)",clean,0.95,0.91
XGB,tf,800,"(1, 1)",clean,0.88,0.78
NB,tf,800,"(1, 1)",clean_steeming,0.92,0.88
SVMR,tf,800,"(1, 1)",clean_steeming,0.5,0.0
SVML,tf,800,"(1, 1)",clean_steeming,0.95,0.9
LR1,tf,800,"(1, 1)",clean_steeming,0.87,0.76
LR2,tf,800,"(1, 1)",clean_steeming,0.89,0.79
RF,tf,800,"(1, 1)",clean_steeming,0.95,0.92
XGB,tf,800,"(1, 1)",clean_steeming,0.89,0.8
NB,tf,800,"(1, 1)",clean_lemmatization,0.94,0.93
SVMR,tf,800,"(1, 1)",clean_lemmatization,0.5,0.0
SVML,tf,800,"(1, 1)",clean_lemmatization,0.95,0.9
LR1,tf,800,"(1, 1)",clean_lemmatization,0.87,0.74
LR2,tf,800,"(1, 1)",clean_lemmatization,0.88,0.77
RF,tf,800,"(1, 1)",clean_lemmatization,0.96,0.93
XGB,tf,800,"(1, 1)",clean_lemmatization,0.9,0.81
NB,tf,800,"(1, 1)",clean_steeming_lemmatization,0.92,0.89
SVMR,tf,800,"(1, 1)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,800,"(1, 1)",clean_steeming_lemmatization,0.95,0.9
LR1,tf,800,"(1, 1)",clean_steeming_lemmatization,0.87,0.75
LR2,tf,800,"(1, 1)",clean_steeming_lemmatization,0.89,0.78
RF,tf,800,"(1, 1)",clean_steeming_lemmatization,0.95,0.9
XGB,tf,800,"(1, 1)",clean_steeming_lemmatization,0.89,0.8
NB,tf,800,"(1, 2)",clean,0.94,0.95
SVMR,tf,800,"(1, 2)",clean,0.5,0.0
SVML,tf,800,"(1, 2)",clean,0.94,0.89
LR1,tf,800,"(1, 2)",clean,0.86,0.73
LR2,tf,800,"(1, 2)",clean,0.87,0.74
RF,tf,800,"(1, 2)",clean,0.95,0.91
XGB,tf,800,"(1, 2)",clean,0.88,0.78
NB,tf,800,"(1, 2)",clean_steeming,0.94,0.92
SVMR,tf,800,"(1, 2)",clean_steeming,0.5,0.0
SVML,tf,800,"(1, 2)",clean_steeming,0.95,0.91
LR1,tf,800,"(1, 2)",clean_steeming,0.87,0.76
LR2,tf,800,"(1, 2)",clean_steeming,0.89,0.79
RF,tf,800,"(1, 2)",clean_steeming,0.95,0.9
XGB,tf,800,"(1, 2)",clean_steeming,0.88,0.79
NB,tf,800,"(1, 2)",clean_lemmatization,0.94,0.93
SVMR,tf,800,"(1, 2)",clean_lemmatization,0.5,0.0
SVML,tf,800,"(1, 2)",clean_lemmatization,0.95,0.9
LR1,tf,800,"(1, 2)",clean_lemmatization,0.87,0.74
LR2,tf,800,"(1, 2)",clean_lemmatization,0.88,0.77
RF,tf,800,"(1, 2)",clean_lemmatization,0.96,0.93
XGB,tf,800,"(1, 2)",clean_lemmatization,0.89,0.79
NB,tf,800,"(1, 2)",clean_steeming_lemmatization,0.94,0.92
SVMR,tf,800,"(1, 2)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,800,"(1, 2)",clean_steeming_lemmatization,0.95,0.9
LR1,tf,800,"(1, 2)",clean_steeming_lemmatization,0.87,0.75
LR2,tf,800,"(1, 2)",clean_steeming_lemmatization,0.89,0.78
RF,tf,800,"(1, 2)",clean_steeming_lemmatization,0.95,0.9
XGB,tf,800,"(1, 2)",clean_steeming_lemmatization,0.88,0.78
NB,tf,800,"(1, 3)",clean,0.94,0.95
SVMR,tf,800,"(1, 3)",clean,0.5,0.0
SVML,tf,800,"(1, 3)",clean,0.94,0.88
LR1,tf,800,"(1, 3)",clean,0.85,0.72
LR2,tf,800,"(1, 3)",clean,0.87,0.74
RF,tf,800,"(1, 3)",clean,0.95,0.91
XGB,tf,800,"(1, 3)",clean,0.88,0.78
NB,tf,800,"(1, 3)",clean_steeming,0.93,0.91
SVMR,tf,800,"(1, 3)",clean_steeming,0.5,0.0
SVML,tf,800,"(1, 3)",clean_steeming,0.95,0.9
LR1,tf,800,"(1, 3)",clean_steeming,0.88,0.76
LR2,tf,800,"(1, 3)",clean_steeming,0.89,0.79
RF,tf,800,"(1, 3)",clean_steeming,0.95,0.9
XGB,tf,800,"(1, 3)",clean_steeming,0.88,0.78
NB,tf,800,"(1, 3)",clean_lemmatization,0.93,0.93
SVMR,tf,800,"(1, 3)",clean_lemmatization,0.5,0.0
SVML,tf,800,"(1, 3)",clean_lemmatization,0.94,0.9
LR1,tf,800,"(1, 3)",clean_lemmatization,0.87,0.74
LR2,tf,800,"(1, 3)",clean_lemmatization,0.88,0.78
RF,tf,800,"(1, 3)",clean_lemmatization,0.95,0.91
XGB,tf,800,"(1, 3)",clean_lemmatization,0.89,0.79
NB,tf,800,"(1, 3)",clean_steeming_lemmatization,0.93,0.9
SVMR,tf,800,"(1, 3)",clean_steeming_lemmatization,0.5,0.0
SVML,tf,800,"(1, 3)",clean_steeming_lemmatization,0.95,0.9
LR1,tf,800,"(1, 3)",clean_steeming_lemmatization,0.87,0.76
LR2,tf,800,"(1, 3)",clean_steeming_lemmatization,0.89,0.78
RF,tf,800,"(1, 3)",clean_steeming_lemmatization,0.95,0.91
XGB,tf,800,"(1, 3)",clean_steeming_lemmatization,0.89,0.8
NB,tfidf,100,"(1, 1)",clean,0.82,0.94
SVMR,tfidf,100,"(1, 1)",clean,0.5,0.0
SVML,tfidf,100,"(1, 1)",clean,0.93,0.87
LR1,tfidf,100,"(1, 1)",clean,0.88,0.78
LR2,tfidf,100,"(1, 1)",clean,0.89,0.78
RF,tfidf,100,"(1, 1)",clean,0.93,0.89
XGB,tfidf,100,"(1, 1)",clean,0.89,0.79
NB,tfidf,100,"(1, 1)",clean_steeming,0.86,0.94
